conflict_id,caminho,ocorrencias_fisicas
3,,3
12,,3
19,,4
33,,2
45,,2
47,,4
72,,2
91,,2
106,,2
117,,2
550,,2
593,,645
607,,1
611,,1
667,,645
668,,8
677,,657
687,,1
691,,1
701,,2
708,,4
765,,3
768,,5
769,,5
890,,3
893,,3
897,,1
1130,,6
1132,,6
1164,,2
1310,,1
1314,,1
1333,,1
1406,,1
1410,,1
1429,,1
1470,,4
1474,,2
1505,,1
1559,,1
1563,,1
1582,,1
2386,,1
2390,,1
2445,,1
2474,,1
2478,,1
2503,,1
2757,,1
2761,,1
2779,,1
3100,,1
3104,,1
3133,,1
3287,,1
3291,,1
3309,,1
3429,,1
3433,,1
3506,,1
3512,,1
3654,,1
3658,,1
3691,,1
3693,,1
3694,,7
3765,,1
3769,,1
3787,,1
3852,,1
3856,,1
3874,,1
3983,,1
4016,,1
4020,,1
4038,,1
4129,,1
4133,,1
4153,,1
4336,,1
4340,,1
4358,,1
