id,caminho,recomendacao
775,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/10.Regenera-Nome_Modules-App.tsx,REFATORAR
776,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/App.tsx,REFATORAR
777,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/App.tsx.tsx,REFATORAR
778,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/app.json,MANTER_REFERENCIA
779,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.gitignore,REFATORAR
780,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.vscode/launch.json,MANTER_REFERENCIA
781,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.vscode/settings.json,MANTER_REFERENCIA
782,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/App.tsx,REFATORAR
783,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/ai-logic.js,REJEITAR
784,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/apply-audit.cjs,REFATORAR
785,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/bridge_script.js,REJEITAR
786,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/AI/RaphaelaOrb.tsx,REFATORAR
787,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/AI/VoiceWave.tsx,REFATORAR
788,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Auth/LoginScreen.tsx,REFATORAR
789,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Banking/PixArea.tsx,REFATORAR
790,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Banking/TransferArea.tsx,REFATORAR
791,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Dashboard/DonutChart.tsx,REFATORAR
792,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Infographic.tsx,REFATORAR
793,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/IntroScreen.tsx,REFATORAR
794,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Loading.tsx,REFATORAR
795,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Cards.tsx,REFATORAR
796,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Crypto.tsx,REFATORAR
797,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Investments.tsx,REFATORAR
798,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/LifestyleExtended.tsx,REFATORAR
799,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/NeuralInsights.tsx,REFATORAR
800,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Pix.tsx,REFATORAR
801,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/RegeneraExtra.tsx,REFATORAR
802,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/SystemExtended.tsx,REFATORAR
803,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Transactions.tsx,REFATORAR
804,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/WealthExtended.tsx,REFATORAR
805,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/SearchResults.tsx,REFATORAR
806,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/UI/ErrorBoundary.tsx,REFATORAR
807,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/UI/MapWidget.tsx,REFATORAR
808,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/UI/PremiumChart.tsx,REFATORAR
809,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/hooks/useSpeech.ts,REFATORAR
810,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/html/index.html,REFATORAR
811,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/index.css,REFATORAR
812,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/index.html,REFATORAR
813,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/index.tsx,REFATORAR
814,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/inject-pwa.cjs,REFATORAR
815,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/manifest.json,MANTER_REFERENCIA
816,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/metadata.json,MANTER_REFERENCIA
817,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/okversaoclaud.html,REFATORAR
818,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/package-lock.json,MANTER_REFERENCIA
819,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/package.json,MANTER_REFERENCIA
820,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/preview (19).html,REFATORAR
821,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/regenera_bank_private_financial_os_blue_black_menu_20x (1).html,REFATORAR
822,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/regenera_bank_private_financial_os_complete_23_modules.html,REFATORAR
823,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/regeneraoktop.html,REFATORAR
824,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/services/RB.ts,REJEITAR
825,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/services/geminiService.ts,REFATORAR
826,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/services/regeneraoktop.html,REFATORAR
827,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/sw.js,REFATORAR
828,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/transform.cjs,REJEITAR
829,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/tsconfig.json,MANTER_REFERENCIA
830,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/types.ts,REFATORAR
831,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/vercel.json,MANTER_REFERENCIA
832,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/vite.config.ts,REFATORAR
1497,04-bffs/regenera-api-partners/docs/source-material/webhook.service.ts,REFATORAR
1947,02-contracts/regenera-contracts-events/docs/source-material/domain-event.interface.ts,REFATORAR
2623,06-risk-control/regenera-control-audit/docs/source-material/audit-context.middleware.ts,REFATORAR
2624,06-risk-control/regenera-control-audit/docs/source-material/audit-sign.ts,REFATORAR
3481,06-risk-control/regenera-risk-kyc/docs/source-material/compliance-privacy.sql,REFATORAR
3482,06-risk-control/regenera-risk-kyc/docs/source-material/kyc.service.ts,REFATORAR
3483,06-risk-control/regenera-risk-kyc/docs/source-material/pep.provider.ts,REFATORAR
3680,05-core-banking/regenera-core-ledger/docs/source-material/0001-financial-foundation.sql,REFATORAR
3681,05-core-banking/regenera-core-ledger/docs/source-material/money.value-object.ts,REFATORAR
3960,05-core-banking/regenera-core-payment-orchestrator/docs/source-material/idempotency-log.entity.ts,REFATORAR
3961,05-core-banking/regenera-core-payment-orchestrator/docs/source-material/idempotency.service.ts,REFATORAR
3962,05-core-banking/regenera-core-payment-orchestrator/docs/source-material/outbox-event.entity.ts,REFATORAR
4146,06-risk-control/regenera-control-reconciliation/docs/source-material/reconciliation-run.entity.ts,REFATORAR
4147,06-risk-control/regenera-control-reconciliation/docs/source-material/reconciliation.service.ts,REFATORAR
4277,05-core-banking/regenera-core-session/docs/source-material/auth-and-inbound.sql,REFATORAR
5015,16-documentation/source-material/API/ERROR_CODES.md,MANTER_EVIDENCIA
5016,16-documentation/source-material/Architecture/SCALING_STRATEGY.md,MANTER_EVIDENCIA
5017,16-documentation/source-material/Architecture/SECURITY_ARCHITECTURE.md,MANTER_EVIDENCIA
5018,16-documentation/source-material/Architecture/SIEM_PENTEST_PLAN.md,MANTER_EVIDENCIA
5019,16-documentation/source-material/Architecture/SYSTEM_DESIGN.md,MANTER_EVIDENCIA
5020,16-documentation/source-material/Compliance/AUDIT_LOGGING.md,MANTER_EVIDENCIA
5021,16-documentation/source-material/Compliance/DATA_RETENTION_POLICY.md,MANTER_EVIDENCIA
5022,16-documentation/source-material/Runbooks/CERTIFICATE_ROTATION.md,MANTER_EVIDENCIA
5023,16-documentation/source-material/Runbooks/DISASTER_RECOVERY.md,MANTER_EVIDENCIA
5024,16-documentation/source-material/Runbooks/INCIDENT_RESPONSE.md,MANTER_EVIDENCIA
7207,10-platform/regenera-platform-event-bus/docs/source-material/pubsub-client.ts,REFATORAR
7558,07-integrations/regenera-integration-kyc-providers/docs/source-material/datavalid.client.ts,REFATORAR
7828,10-platform/regenera-platform-kubernetes/docs/source-material/application.yaml,MANTER_REFERENCIA
7829,10-platform/regenera-platform-kubernetes/docs/source-material/authorization-policy.yaml,MANTER_REFERENCIA
7830,10-platform/regenera-platform-kubernetes/docs/source-material/core-deployment.yaml,MANTER_REFERENCIA
7831,10-platform/regenera-platform-kubernetes/docs/source-material/peer-authentication.yaml,MANTER_REFERENCIA
7832,10-platform/regenera-platform-kubernetes/docs/source-material/virtual-service-canary.yaml,MANTER_REFERENCIA
7913,10-platform/regenera-platform-observability/docs/source-material/metrics.service.ts,REFATORAR
7914,10-platform/regenera-platform-observability/docs/source-material/tracing.service.ts,REFATORAR
