id,caminho,resultado
20,governance/release/repository-root/SECURITY.md,REBAIXAR_P1
2382,domains/accounting/.tool-versions,REBAIXAR_P3
2384,domains/accounting/CODEOWNERS,REBAIXAR_P3
2470,domains/accounts/.tool-versions,REBAIXAR_P3
2472,domains/accounts/CODEOWNERS,REBAIXAR_P3
2679,domains/card-authorization/.tool-versions,REBAIXAR_P3
2681,domains/card-authorization/CODEOWNERS,REBAIXAR_P3
3059,domains/customer-support/.tool-versions,REBAIXAR_P3
3061,domains/customer-support/CODEOWNERS,REBAIXAR_P3
3096,domains/customers/.tool-versions,REBAIXAR_P3
3098,domains/customers/CODEOWNERS,REBAIXAR_P3
3425,domains/identity/.tool-versions,REBAIXAR_P3
3427,domains/identity/CODEOWNERS,REBAIXAR_P3
3650,domains/ledger/.tool-versions,REBAIXAR_P3
3652,domains/ledger/CODEOWNERS,REBAIXAR_P3
3940,domains/payment-orchestrator/.tool-versions,REBAIXAR_P3
4012,domains/pix/.tool-versions,REBAIXAR_P3
4014,domains/pix/CODEOWNERS,REBAIXAR_P3
4125,domains/reconciliation/.tool-versions,REBAIXAR_P3
4127,domains/reconciliation/CODEOWNERS,REBAIXAR_P3
4332,domains/transactions/.tool-versions,REBAIXAR_P3
4334,domains/transactions/CODEOWNERS,REBAIXAR_P3
5662,governance/regulatory/cybersecurity/.tool-versions,REBAIXAR_P3
5778,governance/regulatory/pix/.tool-versions,REBAIXAR_P3
5780,governance/regulatory/pix/CODEOWNERS,REBAIXAR_P3
6021,governance/runbooks/operations/accounting/.tool-versions,REBAIXAR_P3
6206,governance/runbooks/operations/customer-support/.tool-versions,REBAIXAR_P3
6354,governance/runbooks/operations/payment/.tool-versions,REBAIXAR_P3
6356,governance/runbooks/operations/payment/CODEOWNERS,REBAIXAR_P3
6391,governance/runbooks/operations/pix/.tool-versions,REBAIXAR_P3
6393,governance/runbooks/operations/pix/CODEOWNERS,REBAIXAR_P3
6428,governance/runbooks/operations/reconciliation/.tool-versions,REBAIXAR_P3
7979,platform/security/appsec/.tool-versions,REBAIXAR_P3
7981,platform/security/appsec/CODEOWNERS,REBAIXAR_P3
8016,platform/security/cloud/.tool-versions,REBAIXAR_P3
8018,platform/security/cloud/CODEOWNERS,REBAIXAR_P3
8053,platform/security/detection/.tool-versions,REBAIXAR_P3
8055,platform/security/detection/CODEOWNERS,REBAIXAR_P3
8090,platform/security/iam/.tool-versions,REBAIXAR_P3
8092,platform/security/iam/CODEOWNERS,REBAIXAR_P3
8127,platform/security/incident-response/.tool-versions,REBAIXAR_P3
8164,platform/security/kms-hsm/.tool-versions,REBAIXAR_P3
8166,platform/security/kms-hsm/CODEOWNERS,REBAIXAR_P3
8201,platform/security/mobile/.tool-versions,REBAIXAR_P3
8203,platform/security/mobile/CODEOWNERS,REBAIXAR_P3
8238,platform/security/pam/.tool-versions,REBAIXAR_P3
8240,platform/security/pam/CODEOWNERS,REBAIXAR_P3
8275,platform/security/pki/.tool-versions,REBAIXAR_P3
8277,platform/security/pki/CODEOWNERS,REBAIXAR_P3
8312,platform/security/red-team/.tool-versions,REBAIXAR_P3
8314,platform/security/red-team/CODEOWNERS,REBAIXAR_P3
8349,platform/security/threat-intelligence/.tool-versions,REBAIXAR_P3
8386,platform/security/vulnerability-management/.tool-versions,REBAIXAR_P3
8675,platform/tools/migration-validator/.tool-versions,REBAIXAR_P3
9226,quality/security/.tool-versions,REBAIXAR_P3
9228,quality/security/CODEOWNERS,REBAIXAR_P3
