capability_id,capacidade,modulos_ativos,contratos,migrations,services,repositories,eventos,testes,consumidores,conflitos,dependencias,lacunas,maturidade,risco_financeiro,risco_regulatorio,risco_seguranca,proxima_acao,confianca,aprovado_para_implementacao
CAP-IDENTITY,Identity,03-channels | 04-bffs | 02-contracts | 05-core-banking,9,2,2,0,4,15,A Mapear,SIM,Audit Trail,A Mapear,BLOCKED_BY_CONFLICT,CRITICO,CRITICO,ALTO,Resolver Conflito,ALTA,FALSE
CAP-CUSTOMER_PARTY,Customer/Party,03-channels | 02-contracts | 06-risk-control | 05-core-banking | 04-bffs,23,11,3,2,0,13,A Mapear,SIM,Identity | Authorization,A Mapear,BLOCKED_BY_CONFLICT,CRITICO,CRITICO,ALTO,Resolver Conflito,ALTA,FALSE
CAP-ACCOUNTS,Accounts,03-channels | 02-contracts | 06-risk-control | 05-core-banking | 04-bffs,17,13,5,2,1,19,A Mapear,SIM,Customer/Party | Audit Trail,A Mapear,BLOCKED_BY_CONFLICT,CRITICO,CRITICO,ALTO,Resolver Conflito,ALTA,FALSE
CAP-LEDGER,Ledger,03-channels | 02-contracts | 06-risk-control | 05-core-banking | 04-bffs,5,13,1,0,4,13,A Mapear,SIM,Audit Trail,A Mapear,BLOCKED_BY_CONFLICT,CRITICO,CRITICO,ALTO,Resolver Conflito,ALTA,FALSE
CAP-TRANSACTIONS,Transactions,03-channels | 02-contracts | 06-risk-control | 05-core-banking | 04-bffs,11,0,3,4,4,9,A Mapear,SIM,Accounts | Ledger | Idempotency,A Mapear,BLOCKED_BY_CONFLICT,CRITICO,CRITICO,ALTO,Resolver Conflito,ALTA,FALSE
CAP-IDEMPOTENCY,Idempotency,03-channels | 04-bffs | 05-core-banking,1,1,0,0,0,1,A Mapear,NAO,Nenhuma,Ausência de UseCases/Services,SKELETON_ONLY,CRITICO,CRITICO,ALTO,Especificar,ALTA,FALSE
CAP-RECONCILIATION,Reconciliation,03-channels | 07-integrations | 06-risk-control | 05-core-banking | 04-bffs,2,0,1,0,1,6,A Mapear,SIM,Ledger | Transactions | Payments | Pix,A Mapear,BLOCKED_BY_CONFLICT,CRITICO,CRITICO,ALTO,Resolver Conflito,ALTA,FALSE
CAP-PAYMENTS,Payments,03-channels | 07-integrations | 11-security | 02-contracts | 10-platform | 08-iso20022 | 06-risk-control | 09-data-platform | 05-core-banking | 04-bffs,105,1,5,11,30,23,A Mapear,SIM,Transactions,A Mapear,BLOCKED_BY_CONFLICT,CRITICO,CRITICO,ALTO,Resolver Conflito,ALTA,FALSE
CAP-PIX,Pix,03-channels | 07-integrations | 02-contracts | 08-iso20022 | 06-risk-control | 05-core-banking | 04-bffs,18,0,5,4,6,23,A Mapear,SIM,Transactions,A Mapear,BLOCKED_BY_CONFLICT,CRITICO,CRITICO,ALTO,Resolver Conflito,ALTA,FALSE
CAP-AUDIT_TRAIL,Audit Trail,03-channels | 07-integrations | 11-security | 02-contracts | 10-platform | 08-iso20022 | 06-risk-control | 09-data-platform | 05-core-banking | 04-bffs,69,2,4,2,7,25,A Mapear,SIM,Nenhuma,A Mapear,BLOCKED_BY_CONFLICT,CRITICO,CRITICO,ALTO,Resolver Conflito,ALTA,FALSE
CAP-AUTHORIZATION,Authorization,03-channels | 04-bffs,0,0,1,0,0,0,A Mapear,NAO,Identity,A Mapear,BLOCKED_BY_CONTRACT,CRITICO,CRITICO,ALTO,Mapear e Desbloquear Contratos,ALTA,FALSE
